10,6
0,0,0,8,1.000000e-001,1.000000e-001,1.000000e-001,1.000000e-001,1.000000e-001,1.000000e-001,1.000000e-001,1.000000e-001,1.000000e-001,1.000000e-001,4086,4086,4086,4086,4086,4086,4086,4086,4086,4086,4.863430e-001,1.251530e+000,4.393292e-001,9.203511e-001,0.000000e+000,1.013215e-001,
1,0,0,1,9.768284e-004,2.384985e-001,2.263224e-001,7.507771e-002,2.062031e-002,2.323994e-002,4.733831e-002,1.001277e-002,1.822526e-001,1.756607e-001,16,3921,3721,1234,339,382,778,164,2996,2888,2.755516e-001,1.725305e-001,-1.774194e-001,2.240816e-001,0.000000e+000,1.886349e-001,
1,1,0,0,1.666635e-001,6.761272e-003,1.495836e-002,1.167780e-001,1.534393e-001,1.516757e-001,1.354524e-001,1.605804e-001,4.462660e-002,4.906440e-002,4070,165,365,2852,3747,3704,3308,3922,1089,1198,1.995911e-001,1.325643e+000,8.931243e-002,4.601651e-002,2.000000e+000,3.997925e-003,
2,0,0,2,4.324160e-004,3.101066e-001,4.638123e-001,1.266728e-001,1.584358e-002,2.313344e-002,3.848764e-003,9.651587e-003,3.668265e-002,9.815897e-003,3,2159,3230,882,110,161,26,67,255,68,3.198340e-001,1.507809e+000,8.262885e-002,9.268624e-001,0.000000e+000,5.523850e-002,
2,1,0,8,1.376860e-003,1.858812e-001,5.181609e-002,3.716597e-002,2.413022e-002,2.331821e-002,7.929418e-002,1.027816e-002,2.892166e-001,2.975224e-001,13,1761,491,352,228,221,751,97,2741,2819,2.823572e-001,3.430957e-001,9.871215e-002,1.147553e-001,0.000000e+000,7.550585e-001,
3,0,0,1,7.215699e-004,7.333052e-001,1.722039e-001,9.281823e-003,1.802596e-003,2.969433e-003,8.892567e-003,0.000000e+000,5.998340e-002,1.083952e-002,2,2040,479,25,5,8,24,0,166,30,5.428022e-001,4.848977e-001,3.254952e-001,3.004273e-001,0.000000e+000,7.019257e-003,
4,0,0,1,4.583699e-004,9.034862e-001,7.064819e-002,9.433892e-004,1.832129e-003,4.715754e-004,5.648912e-003,0.000000e+000,1.192075e-002,4.590464e-003,1,1978,154,2,4,1,12,0,26,10,3.266396e-001,-1.542420e+000,-1.805017e-001,1.306101e-001,3.000000e+000,8.258614e-001,
5,0,0,1,3.762336e-003,5.331683e-001,3.928259e-001,3.871706e-003,7.519131e-003,0.000000e+000,1.931946e-002,0.000000e+000,2.446162e-002,1.507156e-002,1,142,104,1,2,0,5,0,6,4,3.801385e-001,4.219066e-001,2.123325e-001,2.494662e-001,2.000000e+000,6.048769e-002,
6,0,0,1,0.000000e+000,7.197360e-001,2.241302e-001,0.000000e+000,1.251280e-002,0.000000e+000,2.572006e-002,0.000000e+000,1.163066e-002,6.270254e-003,0,115,35,0,2,0,4,0,1,1,8.290353e-001,-1.391031e+000,1.242256e-001,5.681332e-001,3.000000e+000,5.392621e-001,
7,0,0,1,0.000000e+000,9.128116e-001,3.816388e-002,0.000000e+000,0.000000e+000,0.000000e+000,3.941547e-002,0.000000e+000,0.000000e+000,9.609036e-003,0,95,3,0,0,0,4,0,0,1,3.670461e-001,1.466007e+000,7.161170e-002,2.145898e-002,2.000000e+000,3.686025e-001,
8,0,0,1,0.000000e+000,9.876775e-001,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,1.232253e-002,0,80,0,0,0,0,0,0,0,1,8.236030e-001,5.992314e-003,1.523026e-001,4.105428e-001,3.000000e+000,5.597095e-001,
9,0,1,1,0.000000e+000,1.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0,80,0,0,0,0,0,0,0,0,-1.327039e-003,-1.327039e-003,-1.327039e-003,-1.327039e-003,-1.327039e-003,-1.327039e-003,
9,1,1,9,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,1.000000e+000,0,0,0,0,0,0,0,0,0,1,-1.327039e-003,-1.327039e-003,-1.327039e-003,-1.327039e-003,-1.327039e-003,-1.327039e-003,
8,1,0,1,0.000000e+000,6.476967e-001,1.733098e-001,0.000000e+000,0.000000e+000,0.000000e+000,1.789935e-001,0.000000e+000,0.000000e+000,0.000000e+000,0,14,3,0,0,0,4,0,0,0,6.791284e-001,1.119795e+000,-2.222205e-001,1.161656e-001,2.000000e+000,6.147344e-001,
9,2,1,1,0.000000e+000,1.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0,11,0,0,0,0,0,0,0,0,-1.327039e-003,-1.327039e-003,-1.327039e-003,-1.327039e-003,-1.327039e-003,-1.327039e-003,
9,3,0,2,0.000000e+000,2.688416e-001,3.596813e-001,0.000000e+000,0.000000e+000,0.000000e+000,3.714771e-001,0.000000e+000,0.000000e+000,0.000000e+000,0,2,3,0,0,0,4,0,0,0,3.122959e-001,1.214617e+000,-3.461257e-001,2.968915e-001,0.000000e+000,2.088687e-001,
10,6,0,2,0.000000e+000,4.277356e-001,5.722644e-001,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0,2,3,0,0,0,0,0,0,0,6.600543e-001,-1.141463e+000,1.946013e-001,2.887992e-001,3.000000e+000,3.619190e-001,
11,12,1,2,0.000000e+000,0.000000e+000,1.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0,0,3,0,0,0,0,0,0,0,-1.327039e-003,-1.327039e-003,-1.327039e-003,-1.327039e-003,-1.327039e-003,-1.327039e-003,
11,13,1,1,0.000000e+000,1.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0,2,0,0,0,0,0,0,0,0,-1.327039e-003,-1.327039e-003,-1.327039e-003,-1.327039e-003,-1.327039e-003,-1.327039e-003,
10,7,1,6,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,1.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0,0,0,0,0,0,4,0,0,0,-1.327039e-003,-1.327039e-003,-1.327039e-003,-1.327039e-003,-1.327039e-003,-1.327039e-003,
7,1,0,2,0.000000e+000,3.571388e-001,5.733762e-001,0.000000e+000,3.601193e-002,0.000000e+000,0.000000e+000,0.000000e+000,3.347311e-002,0.000000e+000,0,19,31,0,2,0,0,0,1,0,8.886990e-001,-8.000930e-002,-6.709495e-002,3.562670e-001,3.000000e+000,1.550340e-001,
8,2,0,1,0.000000e+000,8.688055e-001,4.358883e-002,0.000000e+000,8.760563e-002,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0,19,0,0,2,0,0,0,0,0,9.872738e-001,4.386849e-001,-1.508988e-001,5.393814e-002,2.000000e+000,4.743187e-001,
